year_month,count,total_amount,avg_amount,under_1750_count,under_1750_rate
2025-04,21,1705963.94,81236.38,3,14.29%
2025-05,62,3348806.52,54013.01,13,20.97%
2025-06,60,13825347.61,230422.46,8,13.33%
2025-07,63,7093890.63,112601.44,8,12.70%
2025-08,60,16875688.89,281261.48,6,10.00%
2025-09,61,10444554.80,171222.21,4,6.56%
2025-10,58,9087302.13,156677.62,6,10.34%
2025-11,51,15983441.70,313400.82,4,7.84%
2025-12,42,2192978.09,52213.76,5,11.90%
2026-01,35,2887806.91,82508.77,4,11.43%
2026-02,41,3128288.07,76299.71,12,29.27%
2026-03,43,19356509.85,450151.39,6,13.95%
2026-04,16,678919.22,42432.45,3,18.75%
