scope,bucket,played,hit,hit_rate,total_gain_tl,avg_gain_per_play_tl,avg_hit_amount_tl
overall,all,623,84,13.48,82132.5,131.83,977.77
month,2025-04,28,5,17.86,5506.21,196.65,1101.24
month,2025-05,63,13,20.63,11817.31,187.58,909.02
month,2025-06,60,8,13.33,9604.91,160.08,1200.61
month,2025-07,63,8,12.7,8171.47,129.71,1021.43
month,2025-08,60,6,10.0,5809.1,96.82,968.18
month,2025-09,61,4,6.56,2378.75,39.0,594.69
month,2025-10,59,6,10.17,6096.1,103.32,1016.02
month,2025-11,51,4,7.84,4529.95,88.82,1132.49
month,2025-12,42,5,11.9,5415.8,128.95,1083.16
month,2026-01,35,4,11.43,2253.17,64.38,563.29
month,2026-02,41,12,29.27,12326.21,300.64,1027.18
month,2026-03,43,6,13.95,5551.6,129.11,925.27
month,2026-04,17,3,17.65,2671.92,157.17,890.64
weekday,0-Pazartesi,90,9,10.0,9828.34,109.2,1092.04
weekday,1-Sali,86,12,13.95,11073.26,128.76,922.77
weekday,2-Carsamba,87,5,5.75,5222.07,60.02,1044.41
weekday,3-Persembe,85,9,10.59,6247.64,73.5,694.18
weekday,4-Cuma,74,13,17.57,16348.09,220.92,1257.55
weekday,5-Cumartesi,101,13,12.87,15615.26,154.61,1201.17
weekday,6-Pazar,100,23,23.0,17797.84,177.98,773.82
city,Adana,84,16,19.05,16432.41,195.62,1027.03
city,Ankara,85,10,11.76,10173.65,119.69,1017.37
city,Antalya,39,7,17.95,6739.01,172.8,962.72
city,Bursa,73,10,13.7,13076.46,179.13,1307.65
city,Elazig,44,4,9.09,4529.73,102.95,1132.43
city,Istanbul,127,14,11.02,12603.61,99.24,900.26
city,Izmir,94,18,19.15,12692.56,135.03,705.14
city,Kocaeli,30,2,6.67,2105.25,70.17,1052.62
city,Urfa,47,3,6.38,3779.82,80.42,1259.94
