Kosu,At Sayisi,Ortalama Cikti,Toplam Tempo,Tempo Indeksi,Siddet,Yaris Tipi,Yaris Yapisi,Karar Sonucu,Avantajli At Turu
1. Koşu,12,1.000,0.000,0.000,Düşük,Düşük Tempo,Kalabalık,Yavaş yarış,Önde Kaçan
2. Koşu,10,6.635,3.020,0.302,Düşük,Düşük Tempo,Orta grup,Yavaş yarış,Önde Kaçan
3. Koşu,7,6.679,4.865,0.695,Düşük,Düşük Tempo,Orta grup,Yavaş yarış,Önde Kaçan
4. Koşu,12,1.000,0.000,0.000,Düşük,Düşük Tempo,Kalabalık,Yavaş yarış,Önde Kaçan
5. Koşu,17,7.360,10.823,0.637,Yüksek,Düşük Tempo,Kalabalık,Sahte tempo (tek kaçış),Lider / güçlü at
6. Koşu,16,7.376,11.040,0.690,Yüksek,Düşük Tempo,Kalabalık,Sahte tempo (tek kaçış),Lider / güçlü at
7. Koşu,6,6.548,0.011,0.002,Düşük,Düşük Tempo,Küçük grup,Yavaş yarış,Önde Kaçan
8. Koşu,14,6.444,6.872,0.491,Orta,Düşük Tempo,Kalabalık,Kontrollü tempo,Önde Kaçan
9. Koşu,18,7.252,8.013,0.445,Orta,Düşük Tempo,Kalabalık,Kontrollü tempo,Önde Kaçan
